
Summary of Generated Graphs:
-------------------------------------------------------------------------------------
   Step     Nodes     Edges     Chromatic #    Arboricity      Is Planar   
-------------------------------------------------------------------------------------
    0         10        45          10              5            False     
    1         11        45          10              5            False     
    2         12        45          10              5            False     
    3         13        45          10              5            False     
    4         14        45          10              5            False     
    5         15        45          10              5            False     
    6         16        45          10              5            False     
    7         17        45          10              5            False     
    8         18        45          10              5            False     
    9         19        45          10              5            False     
    10        20        45          10              5            False     
    11        21        45          10              5            False     
    12        22        45          10              5            False     
    13        23        45          10              5            False     
    14        24        45          10              5            False     
    15        25        46          10              4            False     
    16        26        45          10              5            False     
    17        27        45          10              5            False     
    18        28        45          10              5            False     
    19        29        45          10              5            False     
    20        30        45          10              5            False     
    21        31        45          10              5            False     
    22        32        45          10              5            False     
    23        33        45          10              5            False     
    24        34        45          10              5            False     
    25        35        45          10              5            False     
    26        36        45          10              5            False     
    27        37        46          10              4            False     
    28        38        46          10              5            False     
    29        39        45          10              5            False     
    30        40        45          10              5            False     
    31        41        45          10              5            False     
    32        42        45          10              5            False     
    33        43        45          10              5            False     
    34        44        45          10              5            False     
    35        45        45          10              5            False     
    36        46        45          10              5            False     
    37        47        45          10              5            False     
    38        48        45          10              5            False     
    39        49        45          10              5            False     
    40        50        46          10              4            False     
    41        51        46          10              4            False     
    42        52        47          10              4            False     
    43        53        45          10              5            False     
    44        54        46          10              4            False     
    45        55        48          10              4            False     
    46        56        49          10              3            False     
    47        57        46          10              5            False     
    48        58        46          10              4            False     
    49        59        47          10              4            False     
    50        60        45          10              5            False     
    51        61        46          10              5            False     
    52        62        45          10              5            False     
    53        63        48          10              4            False     
    54        64        46          10              4            False     
    55        65        46          10              4            False     
    56        66        46          10              4            False     
    57        67        47          10              4            False     
    58        68        46          10              4            False     
    59        69        45          10              5            False     
    60        70        49          10              3            False     
    61        71        56          10              2            False     
    62        72        58          10              2            False     
    63        73        56          10              3            False     
    64        74        45          10              5            False     
    65        75        46          10              4            False     
    66        76        45          10              5            False     
